"time","temp"
0.0,22.75
0.5,22.561149071899433
1.0,21.909277766617684
1.5,21.41555307429107
2.0,20.517843741450996
2.5,19.60531272415395
3.0,18.660290891664843
3.5,18.019621649885547
4.0,17.374039816553612
4.5,16.932557283062266
5.0,16.84046347053067
5.5,16.957589664200746
6.0,16.976023684716047
6.5,17.175413454316967
7.0,17.194372537744094
7.5,17.33353321637271
8.0,16.859888454442757
8.5,16.593449619103392
9.0,15.863513332635584
9.5,15.052517611868847
10.0,14.03785067542848
10.5,13.348996156084064
11.0,12.559298388077936
11.5,12.080524144397236
12.0,11.746859394450127
12.5,11.876286323330149
13.0,12.574357321840566
13.5,13.481520738869081
14.0,14.408949143296422
14.5,15.046140707228332
15.0,16.086272130043476
15.5,16.9488338815199
16.0,17.567205134812067
16.5,17.700976465175014
17.0,17.61931305825167
17.5,17.545684142167822
18.0,17.603868753556814
18.5,17.505577940949646
19.0,17.559687338572168
19.5,17.530929322059507
20.0,17.844829085714863
20.5,18.450408061913006
21.0,19.282587583205867
21.5,20.218950167914564
22.0,20.92767475323503
22.5,21.886447428052435
23.0,22.385459151700253
23.5,22.93431448992273
24.0,23.0768683091241
24.5,22.75147436940057
25.0,22.340868286362205
25.5,21.665849336486296
26.0,21.040120569132732
26.5,19.928269258630817
27.0,18.93766639256888
27.5,18.45703761868757
28.0,18.06944686633995
28.5,17.570126139634112
29.0,17.32255495754538
29.5,17.381148906608487
30.0,17.34941377420438
30.5,17.40820737289433
31.0,17.266375090972662
31.5,17.287461143200638
32.0,16.81269448017738
32.5,16.558158957109686
33.0,16.060554437312344
33.5,15.358056682932572
34.0,14.593752714077517
34.5,13.69126131287555
35.0,13.087267686591613
35.5,12.744560766593619
36.0,12.550257121010873
36.5,12.474247550773514
37.0,12.95890209697692
37.5,13.533744106607358
38.0,14.395451738076364
38.5,15.22181127517216
39.0,16.249907167167336
39.5,16.7949778562844
40.0,17.427844624668683
40.5,17.809411646962875
41.0,17.922583236428537
41.5,17.668108516551495
42.0,17.389787550278136
42.5,17.48804303549247
43.0,17.316233064921157
43.5,17.280735343645322
44.0,17.513768646676116
44.5,18.074934008047638
45.0,18.80731166082651
45.5,19.42949511299407
46.0,20.114059786853367
46.5,20.984488392469093
47.0,21.559509347137716
47.5,22.103480384986952
48.0,22.43863759390108
48.5,22.136586934557396
49.0,21.7499209463804
49.5,21.083551162071785
50.0,20.440358063021005
50.5,19.799447140568873
51.0,18.93538745326285
51.5,18.12197538103859
52.0,17.788711668158655
52.5,17.262115922913605
53.0,17.090954556976026
53.5,17.1077451347511
54.0,17.112801747116112
54.5,17.355534918111385
55.0,17.429996051583498
55.5,17.2264884862168
56.0,16.908428672719015
56.5,16.508095305396505
57.0,15.747474538089211
57.5,14.75177947157816
58.0,13.907746944426178
58.5,12.996146602082742
59.0,12.435837308949035
59.5,11.906557212166055
60.0,11.640466195262436
60.5,12.030031953119126
61.0,12.42599090771012
61.5,13.03906901953366
62.0,13.917920605886508
62.5,14.914682345686321
63.0,15.846800982095857
63.5,16.700741986712647
64.0,17.11401824900868
64.5,17.404709264437773
65.0,17.47167987195995
65.5,17.458783831473944
66.0,17.38548787844862
66.5,17.332076155504595
67.0,17.102653030479782
67.5,17.18196675437907
68.0,17.61399762487729
68.5,17.939333129700803
69.0,18.78725203696594
69.5,19.71859777255313
70.0,20.55362505467405
70.5,21.358994283189716
71.0,21.932333449867937
71.5,22.49739618098593
72.0,22.650035889109546
72.5,22.403010698852782
73.0,21.775585807935546
73.5,21.07916954191881
74.0,20.49515703839227
74.5,19.723374641806853
75.0,18.960920120808694
75.5,18.45573068338508
76.0,17.70755067105878
76.5,17.447902343057677
77.0,17.19403054887207
77.5,17.201489638010578
78.0,17.198904982162823
78.5,17.28416553571922
79.0,17.53816407514723
79.5,17.538242971349227
80.0,17.383876141649775
80.5,16.658618210959382
81.0,15.872090857541918
81.5,15.186338754546782
82.0,14.109826995515142
82.5,13.17561475019301
83.0,12.354603560424971
83.5,12.110496913435416
84.0,11.867761105059124
84.5,12.02324616790927
85.0,12.277489326799067
85.5,12.825030199393554
86.0,13.714367456080797
86.5,14.775552360837
87.0,15.573097345557306
87.5,16.238838260372482
88.0,16.59969908824303
88.5,16.794555050278525
89.0,16.82559064879824
89.5,16.73761037605098
90.0,16.734542921523516
90.5,16.624548024611265
91.0,16.87527560803638
91.5,16.938128749134236
