"time","temp","T_env","heater","graph_state"
0.0,25.0,25.0,0,6
0.5,25.0,25.0,0,8
1.0,25.0,25.0,0,8
1.5,25.0,25.0,0,8
2.0,24.997693221424953,24.68379206837014,0,8
2.5,24.979897018633142,23.874390794095,0,8
3.0,24.944549183655027,23.29123972619997,0,8
3.5,24.887965993333513,22.502668225556484,0,8
4.0,24.815083158373668,21.667745083845414,0,8
4.5,24.72187342446966,20.60618281663751,0,8
5.0,24.601348089098767,19.399827915448174,0,8
5.5,24.45675557761361,18.474273989609745,0,8
6.0,24.296368312740988,17.6277848828806,0,8
6.5,24.11620836854881,16.833185307920292,0,8
7.0,23.917536799470483,15.607376134642763,0,8
7.5,23.69175956372857,14.370443068100311,0,8
8.0,23.438278328578953,13.08144551572234,0,8
8.5,23.168071536692256,12.20535475227934,0,8
9.0,22.890751942568386,11.774105912881897,0,8
9.5,22.606899898092493,11.272617472778375,0,8
10.0,22.31360369632436,10.447915823990165,0,8
10.5,22.012890911910876,10.0,0,8
11.0,21.715756814941674,10.0,0,8
11.5,21.425998372940196,10.0,0,8
12.0,21.147526907821536,10.291538576475334,0,8
12.5,20.880127275069384,10.385176635030792,0,8
13.0,20.623308352232268,10.419994418918025,0,8
13.5,20.37938134555533,11.151270054414775,0,8
14.0,20.152430164984107,11.465817235140978,0,8
14.5,19.945542753623418,12.004716115039745,0,8
15.0,19.760745697123124,12.55006676753409,0,8
15.5,19.587592451938924,12.959551485767525,0,8
16.0,19.439648173653605,14.093533049971239,0,8
16.5,19.31688449649354,14.720810439925089,0,8
17.0,19.21911148993683,15.832894426142385,0,8
17.5,19.155558391005556,17.241507471232946,0,8
18.0,19.125210001398987,18.377405121495084,0,8
18.5,19.119732050613145,19.203919078110673,0,8
19.0,19.13089758006831,19.852272681605793,0,8
19.5,19.1540321710573,20.52885616302929,0,8
20.0,19.203038299139763,21.367028231824133,0,8
20.5,19.390915691684704,22.3019282506436,1,3
21.0,19.615394795004367,22.881684339486966,1,3
21.5,19.851236748706057,23.19376098857134,1,3
22.0,20.09259433537239,23.84114187462952,1,3
22.5,20.33866712527989,24.214751887370557,1,3
23.0,20.58658103271375,24.415276624052286,1,3
23.5,20.833653531968434,24.533748383822918,1,3
24.0,21.076698339634067,24.736198585591886,1,3
24.5,21.318455162323154,24.77279197041664,1,3
25.0,21.55692819330358,24.92563264974827,1,3
25.5,21.78235220977766,24.414129754056823,1,3
26.0,21.99032991399158,24.101203528134416,1,3
26.5,22.174536366463393,23.11363362504953,1,3
27.0,22.338147343823888,22.53045626354998,1,3
27.5,22.47996698556234,21.657361652006443,1,3
