"time","temp","T_env","heater"
0.0,25.0,25.0,0
0.5,25.0,25.0,0
1.0,25.0,25.0,0
1.5,25.0,25.0,0
2.0,24.997757841500253,24.7870243144839,0
2.5,24.980353805331752,24.320114195709717,0
3.0,24.94980928229237,23.447952432498326,0
3.5,24.89168976568782,22.323333538377867,0
4.0,24.811454750616015,21.342509178918217,0
4.5,24.71301795009058,20.53691197325222,0
5.0,24.591830146454594,19.344253987232538,0
5.5,24.451159457982676,18.63687471963977,0
6.0,24.29023100644685,17.440166469339367,0
6.5,24.104843729010287,16.437961879808547,0
7.0,23.900463583742827,15.553140020569327,0
7.5,23.6753280582006,14.386405063947866,0
8.0,23.430648756842025,13.478227162712546,0
8.5,23.17129542529583,12.533206415753327,0
9.0,22.897393855318374,11.89224068574442,0
9.5,22.612529844071563,11.109613890763308,0
10.0,22.320728965246087,10.55975241542553,0
10.5,22.025639736529893,10.175560973240025,0
11.0,21.72890577777487,10.0,0
11.5,21.439709625386477,10.0,0
12.0,21.15741347006681,10.092601045352135,0
12.5,20.885310238376956,10.173345414391493,0
13.0,20.624182580441413,10.407575139331072,0
13.5,20.375916758481093,10.849101375298954,0
14.0,20.14921253387877,11.499530572053853,0
14.5,19.94051818460334,11.849354642049494,0
15.0,19.7502901400247,12.626734987376137,0
15.5,19.58292752848289,13.362389383852094,0
16.0,19.43725973954134,14.054282704259919,0
16.5,19.32034627849172,14.972802480818356,0
17.0,19.228696160547187,15.870393702205309,0
17.5,19.16067128551576,16.63297755327394,0
18.0,19.113453989272486,17.79010487911814,0
18.5,19.09274646733903,18.754125037223027,0
19.0,19.09872929435425,19.639344117376265,0
19.5,19.122481079524565,20.42832140433054,0
20.0,19.173699279900838,21.529068762212262,0
20.5,19.2404036486757,21.86314992089077,0
21.0,19.317448752358903,22.740337605065097,0
21.5,19.411072443283217,23.37329202409559,0
22.0,19.521506222681758,23.97731233778277,0
22.5,19.642861131740595,24.572660177051393,0
23.0,19.771073646096333,24.999036810575618,0
23.5,19.90001085459121,24.970346045290423,0
24.0,20.02624194500498,25.0,0
24.5,20.14650034716371,24.837527849005493,0
25.0,20.26239461821383,24.729497616915165,0
25.5,20.371862942334342,24.5096299133473,0
26.0,20.464678786556128,23.95175401793126,0
26.5,20.540860111825786,23.329209131156496,0
27.0,20.60664885808296,22.877929353795725,0
27.5,20.650501981821304,21.914898767353513,0
28.0,20.663027463574565,20.740466825473934,0
28.5,20.65669870726318,20.079931234898446,0
29.0,20.63291091552771,19.365430497117067,0
29.5,20.59104145198126,18.567887744335163,0
30.0,20.53050858200394,17.62282813353246,0
30.5,20.441108008502056,16.5048556525533,0
31.0,20.33099894092373,15.483486297764237,0
31.5,20.198132312615478,14.521620398293026,0
32.0,20.03967019563446,13.537578952394686,0
32.5,19.86559894471244,12.892257866142845,0
33.0,19.678097837691638,11.86665314906365,0
33.5,19.479519289136597,11.50026077127671,0
34.0,19.272919502476416,11.05380242590363,0
34.5,19.061167524489143,10.531950815652522,0
35.0,18.84211052289967,10.167469811676533,0
35.5,18.629794214440267,10.265321301968669,0
36.0,18.421793589335074,10.0,0
36.5,18.213796225426023,10.06809016890045,0
37.0,18.016922924772608,10.192500268097337,0
37.5,17.834190387959865,10.759948092633746,0
38.0,17.66869029133158,11.51810216879062,0
38.5,17.52359108044079,11.967139416549548,0
39.0,17.390679884457956,12.499539564475063,0
39.5,17.27394970012947,13.029945612922303,0
40.0,17.18136029791813,13.947701892632356,0
40.5,17.113860819826826,14.681556926205094,0
41.0,17.065144599185338,15.471654658737618,0
41.5,17.039455422325656,16.41682594764874,0
42.0,17.039527115917505,17.506503224645247,0
42.5,17.05892173973276,18.041353731540298,0
43.0,17.097993924858958,19.20107711012414,0
43.5,17.166263720904578,20.154605647285408,0
44.0,17.25248294424553,20.84253501764333,0
44.5,17.35962002821877,22.06527824530543,0
45.0,17.483915364110203,22.636759666229526,0
45.5,17.6238044673749,23.367945684830836,0
46.0,17.77728225367728,23.89294758754773,0
46.5,17.935002742320478,24.447601807142114,0
47.0,18.103685231735806,24.801013665341483,0
47.5,18.270638574193086,24.96053304393042,0
48.0,18.4370559933543,24.97146663578672,0
48.5,18.59942920396259,24.98643265049881,0
49.0,18.753079073598077,24.800985857136155,0
49.5,18.896457493479904,24.34334013778773,0
50.0,19.019471103911314,23.81036803815596,0
50.5,19.13295768805162,23.50867578476551,0
51.0,19.22995068521634,22.656908747070986,0
51.5,19.303747701314727,21.920528555667712,0
52.0,19.357932104280753,21.204811268155414,0
52.5,19.393771948885227,20.48168790865217,0
53.0,19.417168729061242,19.99970765376593,0
53.5,19.415997450219145,18.840344052993217,0
54.0,19.38726249420072,17.70820475356604,0
54.5,19.329530394321377,16.50923848832536,0
55.0,19.249567471079082,15.955687229147255,0
55.5,19.15102364854808,14.789130402995369,0
56.0,19.029118597060773,13.580201196383094,0
56.5,18.88451157471083,12.964037070354554,0
57.0,18.727630284274134,12.26365408601568,0
57.5,18.55852380842107,11.566378375859676,0
58.0,18.375439970038034,11.065680561552213,0
58.5,18.18289130173574,10.256951132243744,0
59.0,17.98035453894962,10.0,0
59.5,17.782830813581114,10.0,0
60.0,17.590196046703486,10.0,0
60.5,17.402780772811305,10.09030846262917,0
61.0,17.223504803082143,10.143724059049394,0
61.5,17.0526048762666,10.56071426241422,0
62.0,16.896429338941147,10.84973090374855,0
62.5,16.75626560427413,11.519960472417118,0
63.0,16.63678657744067,12.103934056928527,0
63.5,16.53890601088354,12.9446909181807,0
64.0,16.460429560267276,13.674940078356004,0
