"time","temp","T_env","heater","heater_enabled"
0.0,25.0,25.0,0,0
0.5,25.0,25.0,0,1
1.0,25.0,25.0,0,1
1.5,25.0,25.0,0,1
2.0,25.0,25.0,0,1
2.5,25.0,25.0,0,1
3.0,25.0,25.0,0,1
3.5,24.983929416980686,23.764805440975493,0,1
4.0,24.939128260658354,22.60927521643197,0,1
4.5,24.860144371354004,21.46505759620203,0,1
5.0,24.754277163513212,19.558606873116386,0,1
5.5,24.591959561161264,17.882874431768492,0,1
6.0,24.42144544218598,17.368698276305725,0,1
6.5,24.239899494887535,16.66324408019754,0,1
7.0,24.041347544883507,16.08655516688833,0,1
7.5,23.823397903562984,14.874746512926059,0,1
8.0,23.591278196779818,14.54382933925378,0,1
8.5,23.351379106929883,13.028167382916035,0,1
9.0,23.08204928376597,12.400116609114495,0,1
9.5,22.81288678030843,11.871903424524872,0,1
10.0,22.5180435599724,10.425434012021851,0,1
10.5,22.208206373388403,10.0,0,1
11.0,21.90834128543031,10.209097651828943,0,1
11.5,21.617594422835474,10.0,0,1
12.0,21.331359476305085,10.093725388729794,0,1
12.5,21.068834411599042,10.820146969141163,0,1
13.0,20.90462885991314,10.722968895928958,1,1
13.5,20.813092304821815,11.432065708243549,1,1
14.0,20.734337965985432,11.793336701212402,1,1
14.5,20.66897784617876,12.16614498890055,1,1
15.0,20.608072817916128,12.534265193079033,1,1
15.5,20.577019801321526,13.550162154700546,1,1
16.0,20.542271749635386,13.494332570876189,1,1
16.5,20.535301722486448,14.874104090767863,1,1
17.0,20.558186732349792,15.803281914836258,1,1
17.5,20.587300022779278,16.02678698674312,1,1
18.0,20.644211603055762,17.249295413110968,1,1
18.5,20.73055199987157,18.80779662830425,1,1
19.0,20.83313528829083,19.262116244330727,1,1
19.5,20.95656680139443,20.315774816464835,1,1
20.0,21.102496603316677,21.41825161439292,1,1
20.5,21.271050140509487,22.568106709332316,1,1
21.0,21.465997702926757,23.529117180413984,1,1
21.5,21.666632036657234,23.564850779457608,1,1
22.0,21.872673809441913,24.61703427806625,1,1
22.5,22.098435889383683,25.0,1,1
23.0,22.315005661104845,24.76313254121129,1,1
23.5,22.51392795298149,24.040220736123374,1,1
24.0,22.714843162135914,25.0,1,1
24.5,22.91749796633575,24.642819554674187,1,1
25.0,23.108016459137783,24.72235432856442,1,1
25.5,23.289641652993883,24.17838390388333,1,1
26.0,23.45105661647368,23.423384879230824,1,1
26.5,23.59578803027856,23.097921116045598,1,1
27.0,23.741279239168684,23.47780761502303,1,1
27.5,23.8679190677171,22.439245070139183,1,1
28.0,23.971647449771257,21.84915530720685,1,1
28.5,23.958727502828044,20.741524212046574,0,1
29.0,23.869460171954174,19.97941255575593,0,1
29.5,23.744606040612172,18.687947922479974,0,1
30.0,23.599959058949448,17.74982689537377,0,1
30.5,23.448018593554124,17.151121132345523,0,1
31.0,23.26572994618255,15.377851589115446,0,1
