time,tank1_level,tank2_level,v1_cmd,v2_cmd,v3_cmd,q_transfer
106.0,119.00000000000495,305.0,1,1,0,5.0
107.0,118.000000000005,310.0,1,1,0,5.0
108.0,117.00000000000506,315.0,1,1,0,5.0
109.0,116.00000000000512,320.0,1,1,0,5.0
110.0,115.00000000000517,325.0,1,1,0,5.0
111.0,114.00000000000523,330.0,1,1,0,5.0
112.0,113.00000000000529,335.0,1,1,0,5.0
113.0,112.00000000000534,340.0,1,1,0,5.0
114.0,111.0000000000054,345.0,1,1,0,5.0
115.0,110.00000000000546,350.0,1,1,0,5.0
116.0,109.00000000000551,355.0,1,1,0,5.0
117.0,108.00000000000557,360.0,1,1,0,5.0
118.0,107.00000000000563,365.0,1,1,0,5.0
119.0,106.00000000000568,370.0,1,1,0,5.0
120.0,105.00000000000574,375.0,1,1,0,5.0
121.0,104.0000000000058,380.0,1,1,0,5.0
122.0,103.00000000000585,385.0,1,1,0,5.0
123.0,102.00000000000591,390.0,1,1,0,5.0
124.0,101.00000000000597,395.0,1,1,0,5.0
125.0,100.00000000000603,400.0,1,1,0,5.0
126.0,99.00000000000608,405.0,1,1,0,5.0
127.0,98.00000000000614,410.0,1,1,0,5.0
128.0,97.0000000000062,415.0,1,1,0,5.0
129.0,96.00000000000625,420.0,1,1,0,5.0
130.0,95.00000000000631,425.0,1,1,0,5.0
131.0,94.00000000000637,430.0,1,1,0,5.0
132.0,93.00000000000642,435.0,1,1,0,5.0
133.0,92.00000000000648,440.0,1,1,0,5.0
134.0,91.00000000000654,445.0,1,1,0,5.0
135.0,90.0000000000066,450.0,1,1,0,5.0
136.0,94.00000000000665,450.0,1,0,0,0.0
137.0,98.00000000000671,450.0,1,0,0,0.0
138.0,102.00000000000676,450.0,1,0,0,0.0
139.0,106.00000000000682,450.0,1,0,0,0.0
140.0,110.00000000000688,450.0,1,0,0,0.0
141.0,114.00000000000693,450.0,1,0,0,0.0
142.0,118.00000000000699,450.0,1,0,0,0.0
143.0,122.00000000000705,450.0,1,0,0,0.0
144.0,126.0000000000071,450.0,1,0,0,0.0
145.0,130.00000000000716,450.0,1,0,0,0.0
146.0,134.00000000000722,450.0,1,0,0,0.0
147.0,138.00000000000728,450.0,1,0,0,0.0
148.0,142.00000000000733,450.0,1,0,0,0.0
149.0,146.0000000000074,450.0,1,0,0,0.0
150.0,150.00000000000745,450.0,1,0,0,0.0
151.0,149.0000000000075,455.0,1,1,0,5.0
152.0,148.00000000000756,460.0,1,1,0,5.0
153.0,147.00000000000762,465.0,1,1,0,5.0
154.0,146.00000000000767,470.0,1,1,0,5.0
155.0,145.00000000000773,475.0,1,1,0,5.0
156.0,144.0000000000078,480.0,1,1,0,5.0
157.0,143.00000000000784,485.0,1,1,0,5.0
158.0,142.0000000000079,490.0,1,1,0,5.0
159.0,141.00000000000796,495.0,1,1,0,5.0
160.0,140.00000000000801,500.0,1,1,0,5.0
161.0,139.00000000000807,505.0,1,1,0,5.0
162.0,138.00000000000813,510.0,1,1,0,5.0
163.0,137.00000000000819,515.0,1,1,0,5.0
164.0,136.00000000000824,520.0,1,1,0,5.0
165.0,135.0000000000083,525.0,1,1,0,5.0
166.0,134.00000000000836,530.0,1,1,0,5.0
167.0,133.0000000000084,535.0,1,1,0,5.0
168.0,132.00000000000847,540.0,1,1,0,5.0
169.0,131.00000000000853,545.0,1,1,0,5.0
170.0,130.00000000000858,550.0,1,1,0,5.0
171.0,129.00000000000864,555.0,1,1,0,5.0
172.0,128.0000000000087,560.0,1,1,0,5.0
173.0,127.00000000000875,565.0,1,1,0,5.0
174.0,126.00000000000881,570.0,1,1,0,5.0
175.0,125.00000000000887,575.0,1,1,0,5.0
176.0,124.00000000000892,580.0,1,1,0,5.0
177.0,123.00000000000898,585.0,1,1,0,5.0
178.0,122.00000000000904,590.0,1,1,0,5.0
179.0,121.0000000000091,595.0,1,1,0,5.0
180.0,120.00000000000915,600.0,1,1,0,5.0
181.0,119.00000000000921,605.0,1,1,0,5.0
182.0,118.00000000000927,610.0,1,1,0,5.0
183.0,117.00000000000932,615.0,1,1,0,5.0
184.0,116.00000000000938,620.0,1,1,0,5.0
185.0,115.00000000000944,625.0,1,1,0,5.0
186.0,114.00000000000949,630.0,1,1,0,5.0
187.0,113.00000000000955,635.0,1,1,0,5.0
188.0,112.0000000000096,640.0,1,1,0,5.0
189.0,111.00000000000966,645.0,1,1,0,5.0
190.0,110.00000000000972,650.0,1,1,0,5.0
191.0,109.00000000000978,655.0,1,1,0,5.0
192.0,108.00000000000983,660.0,1,1,0,5.0
193.0,107.00000000000989,665.0,1,1,0,5.0
194.0,106.00000000000995,670.0,1,1,0,5.0
195.0,105.00000000001,675.0,1,1,0,5.0
196.0,104.00000000001006,680.0,1,1,0,5.0
197.0,103.00000000001012,685.0,1,1,0,5.0
198.0,102.00000000001017,690.0,1,1,0,5.0
199.0,101.00000000001023,695.0,1,1,0,5.0
200.0,100.00000000001029,700.0,1,1,0,5.0
